Ref,Val,Package,PosX,PosY,Rot,Side
"R37","100k","R_0402_1005Metric",247.700000,-62.850000,90.000000,top
"R38","100k","R_0402_1005Metric",244.950001,-75.060000,90.000000,top
"R39","100k","R_0402_1005Metric",217.760000,-88.150000,180.000000,top
"R40","2.2k","R_0402_1005Metric",221.118000,-73.750000,-90.000000,top
"R41","2.2k","R_0402_1005Metric",219.868000,-73.740000,-90.000000,top
"R50","47","R_0402_1005Metric",228.800000,-109.600000,180.000000,top
"R51","47","R_0402_1005Metric",228.800000,-120.900000,0.000000,top
"R56","47.5k","R_0402_1005Metric",245.250000,-103.550000,90.000000,top
"R57","47.5k","R_0402_1005Metric",245.250000,-101.500000,-90.000000,top
"R76","47k","R_0402_1005Metric",253.100000,-62.050000,-90.000000,top
"R77","10k","R_0402_1005Metric",217.368000,-65.750000,90.000000,top
"R78","10k","R_0402_1005Metric",215.118000,-70.240000,180.000000,top
"R79","10k","R_0402_1005Metric",215.118000,-71.240000,180.000000,top
"R80","10k","R_0402_1005Metric",215.128000,-69.240000,180.000000,top
"R81","4.7k","R_0402_1005Metric",215.618000,-72.740000,90.000000,top
"R82","4.7k","R_0402_1005Metric",216.868000,-73.750000,90.000000,top
"R99","10k","R_0402_1005Metric",258.710000,-71.780000,180.000000,top
"R100","500","R_0402_1005Metric",258.710000,-69.780000,0.000000,top
"R101","91","R_0402_1005Metric",246.240000,-118.500000,0.000000,top
"R102","220","R_0402_1005Metric",246.490000,-120.500000,180.000000,top
"R103","91","R_0402_1005Metric",240.740000,-118.500000,180.000000,top
"R104","220","R_0402_1005Metric",235.490000,-121.000000,180.000000,top
"R105","150","R_0402_1005Metric",246.250000,-116.000000,0.000000,top
"R106","220","R_0402_1005Metric",251.490000,-113.500000,0.000000,top
"R107","100k","R_0402_1005Metric",238.490000,-122.500000,180.000000,top
"R108","100k","R_0402_1005Metric",248.490000,-112.000000,0.000000,top
"R110","100k","R_0402_1005Metric",249.490000,-122.000000,180.000000,top
"R125","100k","R_0402_1005Metric",242.260000,-26.700000,0.000000,top
"R126","10k","R_0402_1005Metric",254.510000,-28.130000,90.000000,top
"R127","10k","R_0402_1005Metric",242.260000,-25.700000,0.000000,top
"R128","100k","R_0402_1005Metric",242.260000,-24.700000,180.000000,top
"R129","1k","R_0402_1005Metric",243.000000,-127.405000,90.000000,top
"R130","100k","R_0402_1005Metric",243.500000,-125.155000,90.000000,top
"R133","19","R_0402_1005Metric",214.450000,-40.100000,180.000000,top
"R144","22k","R_0402_1005Metric",247.790000,-124.950000,0.000000,top
"SW2","SW_SPDT","SW_Slide_SPDT_Angled_CK_OS102011MA1Q",262.550000,-71.800000,90.000000,top
"U1","ADXL375BCCZ","LGA_CC-14-1_ADI",247.700000,-66.700000,180.000000,top
"U2","SN74LVC1G32DBVR","SOT-23-5",243.300000,-64.850000,0.000000,top
"U3","LM76003","Texas_RNP0030B_WQFN-30-1EP_4x6mm_P0.5mm_EP1.8x4.5mm_ThermalVias",229.975000,-137.362500,90.000000,top
"U4","LM76002","Texas_RNP0030B_WQFN-30-1EP_4x6mm_P0.5mm_EP1.8x4.5mm_ThermalVias",219.730000,-119.800000,90.000000,top
"U5","MP8772GQ-P","QFN-16_MP8772GQ-P_MNP",245.745300,-129.680000,-90.000000,top
"U6","STM32H743ZIT6","LQFP-144_20x20mm_P0.5mm",235.250000,-89.525000,90.000000,top
"U7","TPD6E05U06RVZ","Texas_R-PUSON-N14",250.437500,-58.000000,0.000000,top
"U9","MMC5983MA","MMC5983MA_MEM",247.475001,-74.800000,0.000000,top
"U11","TPS16850VMAR","IC_TPS16850VMAR",253.284998,-138.840000,90.000000,top
"U12","BNO085","LGA-28_CEV",218.368000,-69.740000,0.000000,top
"U14","MS561101BA03-50","LGA-8_3x5mm_P1.25mm",218.718000,-61.050000,0.000000,top
"U21","NINA-B112-05B","XCVR_NINA-B112-04B",248.750000,-26.500000,180.000000,top
"U23","NEO-M9N","ublox_NEO",219.650000,-31.250000,0.000000,top
"U27","LSM6DSV16BTR","PQFN50P250X300X74-14N",218.925000,-85.950000,180.000000,top
"Y1","8MHz Crystal (ABM3B-8.000MHZ-18-D2Y-T)","Crystal_SMD_Abracon_ABM3B-4Pin_5.0x3.2mm",236.172500,-107.002500,0.000000,top
"Y2","32.768 kHz Crystal (ABS07-32.768KHZ-9-T)","CAP_ABS07-32.768KHZ-T_ABR",230.490400,-105.952500,0.000000,top
